   30    0.4960
 0.0000e+000 1.0350e+003    1
 4.9232e+002 1.0350e+003    1
 6.0511e+002 1.0350e+003    2
 9.4082e+002 1.0350e+003    2
 1.0377e+003 1.0350e+003    1
 1.3920e+003 1.0350e+003    1
 1.3920e+003 8.7842e+002    1
 1.3920e+003 7.6165e+002    2
 1.3920e+003 4.9760e+002    2
 1.3920e+003 3.9410e+002    5
 1.3920e+003 0.0000e+000    5
 9.3418e+002 0.0000e+000    5
 8.5191e+002 0.0000e+000    2
 6.2368e+002 0.0000e+000    3
 4.3526e+002 0.0000e+000    1
 0.0000e+000 0.0000e+000    1
 0.0000e+000 3.1315e+002    1
 0.0000e+000 4.7106e+002    3
 0.0000e+000 6.7275e+002    3
 0.0000e+000 7.6829e+002    1
 9.6894e+001 8.8373e+002    1
 3.5830e+002 8.3463e+002    3
 4.7374e+002 7.4042e+002    3
 5.3212e+002 6.7938e+002    4
 8.1609e+002 7.4971e+002    4
 4.2730e+002 3.5827e+002    1
 8.1078e+002 3.0519e+002    3
 1.1690e+003 5.4138e+002    2
 1.1412e+003 2.7335e+002    2
 1.2314e+003 1.8577e+002    5
